portal_id	gwas_source_category	legacy_phenotype_id	phenotype_name	legacy_trait_group	trait_group	trait_type	pigean_id
PORTAL:0004809	gcat_trait	gcat_trait_level_of_ephrinA1_in_blood_serum	level of ephrin-A1 in blood serum	PROTEIN_BIOLOGY	protein_biology	stratified	
PORTAL:0004810	gcat_trait	gcat_trait_level_of_ephrin_typeA_receptor_4_in_blood_serum	level of ephrin type-A receptor 4 in blood serum	PROTEIN_BIOLOGY	protein_biology	measurement	
PORTAL:0004811	gcat_trait	gcat_trait_level_of_epidermal_growth_factor_receptor_kinase_substrate_8like_protein_2_in_blood_serum	level of epidermal growth factor receptor kinase substrate 8-like protein 2 in blood serum	PROTEIN_BIOLOGY	protein_biology	measurement	
PORTAL:0004812	gcat_trait	gcat_trait_level_of_epididymisspecific_alphamannosidase_in_blood_serum	level of epididymis-specific alpha-mannosidase in blood serum	PROTEIN_BIOLOGY	protein_biology	measurement	
PORTAL:0004813	gcat_trait	gcat_trait_level_of_erythroid_membraneassociated_protein_in_blood_serum	level of erythroid membrane-associated protein in blood serum	PROTEIN_BIOLOGY	protein_biology	measurement	
PORTAL:0004814	gcat_trait	gcat_trait_level_of_fatty_acidbinding_protein_9_in_blood_serum	level of fatty acid-binding protein 9 in blood serum	PROTEIN_BIOLOGY	protein_biology	measurement	
PORTAL:0004815	gcat_trait	gcat_trait_level_of_fatty_acidbinding_protein_intestinal_in_blood_serum	level of fatty acid-binding protein, intestinal in blood serum	PROTEIN_BIOLOGY	protein_biology	measurement	
PORTAL:0004816	gcat_trait	gcat_trait_level_of_fibroblast_growth_factorbinding_protein_1_in_blood_serum	level of fibroblast growth factor-binding protein 1 in blood serum	PROTEIN_BIOLOGY	protein_biology	measurement	
PORTAL:0004817	gcat_trait	gcat_trait_level_of_folate_receptor_alpha_in_blood_serum	level of folate receptor alpha in blood serum	PROTEIN_BIOLOGY	protein_biology	measurement	
PORTAL:0004818	gcat_trait	gcat_trait_level_of_folate_receptor_gamma_in_blood_serum	level of folate receptor gamma in blood serum	PROTEIN_BIOLOGY	protein_biology	measurement	
PORTAL:0004819	gcat_trait	gcat_trait_level_of_fructose16bisphosphatase_1_in_blood_serum	level of fructose-1,6-bisphosphatase 1 in blood serum	PROTEIN_BIOLOGY	protein_biology	measurement	
PORTAL:0004820	gcat_trait	gcat_trait_level_of_ganglioside_GM2_activator_in_blood_serum	level of ganglioside GM2 activator in blood serum	PROTEIN_BIOLOGY	protein_biology	measurement	
PORTAL:0004821	gcat_trait	gcat_trait_level_of_gastrotropin_in_blood_serum	level of gastrotropin in blood serum	PROTEIN_BIOLOGY	protein_biology	measurement	
PORTAL:0004822	gcat_trait	gcat_trait_level_of_glutaminylpeptide_cyclotransferase_in_blood_serum	level of glutaminyl-peptide cyclotransferase in blood serum	PROTEIN_BIOLOGY	protein_biology	measurement	
PORTAL:0004823	gcat_trait	gcat_trait_level_of_glutaredoxin1_in_blood_serum	level of glutaredoxin-1 in blood serum	PROTEIN_BIOLOGY	protein_biology	measurement	
PORTAL:0004824	gcat_trait	gcat_trait_level_of_glutathione_hydrolase_5_proenzyme_in_blood_serum	level of glutathione hydrolase 5 proenzyme in blood serum	PROTEIN_BIOLOGY	protein_biology	measurement	
PORTAL:0004825	gcat_trait	gcat_trait_level_of_glutathione_reductase_mitochondrial_in_blood_serum	level of glutathione reductase, mitochondrial in blood serum	PROTEIN_BIOLOGY	protein_biology	measurement	
PORTAL:0004826	gcat_trait	gcat_trait_level_of_glycerophosphocholine_cholinephosphodiesterase_ENPP6_in_blood_serum	level of glycerophosphocholine cholinephosphodiesterase ENPP6 in blood serum	PROTEIN_BIOLOGY	protein_biology	measurement	
PORTAL:0004827	gcat_trait	gcat_trait_level_of_glyoxylate_reductasehydroxypyruvate_reductase_in_blood_serum	level of glyoxylate reductase/hydroxypyruvate reductase in blood serum	PROTEIN_BIOLOGY	protein_biology	measurement	
PORTAL:0004828	gcat_trait	gcat_trait_level_of_growth_arrestspecific_protein_6_in_blood_serum	level of growth arrest-specific protein 6 in blood serum	PROTEIN_BIOLOGY	protein_biology	measurement	
PORTAL:0004829	gcat_trait	gcat_trait_level_of_heat_shock_protein_beta6_in_blood_serum	level of heat shock protein beta-6 in blood serum	PROTEIN_BIOLOGY	protein_biology	measurement	
PORTAL:0004830	gcat_trait	gcat_trait_level_of_hematopoieticallyexpressed_homeobox_protein_HHEX_in_blood_serum	level of hematopoietically-expressed homeobox protein HHEX in blood serum	PROTEIN_BIOLOGY	protein_biology	measurement	
PORTAL:0004831	gcat_trait	gcat_trait_level_of_heme_oxygenase_1_in_blood_serum	level of heme oxygenase 1 in blood serum	PROTEIN_BIOLOGY	protein_biology	measurement	
PORTAL:0004832	gcat_trait	gcat_trait_level_of_heparan_sulfate_glucosamine_3Osulfotransferase_3B1_in_blood_serum	level of heparan sulfate glucosamine 3-O-sulfotransferase 3B1 in blood serum	PROTEIN_BIOLOGY	protein_biology	measurement	
PORTAL:0004833	gcat_trait	gcat_trait_level_of_heparansulfate_6Osulfotransferase_2_in_blood_serum	level of heparan-sulfate 6-O-sulfotransferase 2 in blood serum	PROTEIN_BIOLOGY	protein_biology	measurement	
PORTAL:0004834	gcat_trait	gcat_trait_level_of_hepatomaderived_growth_factor_in_blood_serum	level of hepatoma-derived growth factor in blood serum	PROTEIN_BIOLOGY	protein_biology	measurement	
PORTAL:0004835	gcat_trait	gcat_trait_level_of_hephaestin_in_blood_serum	level of hephaestin in blood serum	PROTEIN_BIOLOGY	protein_biology	measurement	
PORTAL:0004836	gcat_trait	gcat_trait_level_of_histonelysine_Nmethyltransferase_SETMAR_in_blood_serum	level of histone-lysine N-methyltransferase SETMAR in blood serum	PROTEIN_BIOLOGY	protein_biology	measurement	
